epoch,accuracy,loss,val_accuracy,val_loss
0,0.8823216,0.3470925612865932,0.8864284753799438,0.33679359271412806
1,0.8864286,0.3364043829176161,0.8864284753799438,0.3356657863041711
2,0.8864287,0.3358731608920627,0.8864284753799438,0.33559086869633387
3,0.8864285,0.335773442756562,0.8864284753799438,0.335623946303413
4,0.8864286,0.3357825087933313,0.8864284753799438,0.33559451475976004
5,0.8864284,0.3353380875171177,0.8864284753799438,0.33566874417047654
6,0.8864287,0.33576813485887314,0.8864284753799438,0.33552220458076115
7,0.8864287,0.3353006646935902,0.8864284753799438,0.33510475291146175
8,0.8864286,0.3353996303914085,0.8864284753799438,0.3352377310820988
9,0.8864284,0.3352100358122871,0.8864284753799438,0.33494932950489104
10,0.8864284,0.33534612653747436,0.8864284753799438,0.3353206083698878
11,0.8864285,0.3352133395747533,0.8864284753799438,0.3352151570433662
12,0.88642883,0.33524040975267927,0.8864284753799438,0.33499491430464245
13,0.8864285,0.33504813281316603,0.8864284753799438,0.3350779902935028
14,0.8864285,0.33526789118373207,0.8864284753799438,0.33485565910263665
15,0.8864286,0.33502430185439097,0.8864284753799438,0.334862907140974
16,0.88642836,0.33508262933246674,0.8864284753799438,0.33494458321541076
17,0.88642865,0.335103426793265,0.8864284753799438,0.33502558842537894
18,0.8864286,0.3350894038260929,0.8864284753799438,0.33510541785331
19,0.88642865,0.33510423495655967,0.8864284753799438,0.3349801112924303
