epoch,auc_1,loss,val_auc_1,val_loss
0,0.6326244,0.3874548621618727,0.7260701060295105,0.28216600303666545
1,0.7885389,0.2520230977323043,0.8331069946289062,0.20337142869440047
2,0.8621156,0.1851925667355822,0.8839819431304932,0.15977653028869296
3,0.9000489,0.14404836739129004,0.912806510925293,0.1353411926362943
4,0.922739,0.11810975031598908,0.9310017824172974,0.12269154473177009
5,0.93767667,0.10015972036653788,0.943389356136322,0.1091029611505555
6,0.9482107,0.08546528891119033,0.9524008631706238,0.10052271596892341
7,0.9559905,0.07606622256845703,0.9591251015663147,0.09485572298263796
8,0.96187603,0.06760004229752598,0.9642877578735352,0.09354271384745992
9,0.9664526,0.060793081295219806,0.9683972597122192,0.08785291553765899
10,0.9701732,0.054341585952366,0.9717661738395691,0.08462010829158478
11,0.97321826,0.050473706793514636,0.9745346903800964,0.08080535877437492
12,0.97575253,0.04587460365178905,0.9768624901771545,0.08131826027941745
13,0.9778862,0.042071738116196106,0.9788365960121155,0.07709916783122908
14,0.97971946,0.038554370465052896,0.9805386066436768,0.07649491617478833
15,0.9812978,0.03633471799406498,0.9819987416267395,0.07523041762684653
16,0.9826555,0.034192893257523914,0.983267068862915,0.07434282218468542
17,0.9838422,0.03200148974413647,0.9843785166740417,0.07368836528499713
18,0.9848901,0.029170796626213333,0.9853710532188416,0.07152196235733714
19,0.98582184,0.029138316080156212,0.9862374067306519,0.07111663335566953
