epoch,auc,loss,val_auc,val_loss
0,0.6383159,0.4223313598940718,0.6867352,0.38964074995713294
1,0.6417891,0.4182006824911161,0.6814847,0.3913549354875275
2,0.700107,0.3800222896572599,0.74955803,0.3684035177110169
3,0.7903978,0.33784604665496587,0.81413007,0.3344383006736662
4,0.82784104,0.31342925206736955,0.83727384,0.317298713570906
5,0.86036325,0.29172022575691314,0.8813176,0.281795788549836
6,0.89950925,0.25624934621610357,0.90214497,0.26152955458530375
7,0.9174074,0.23569374777259627,0.90926266,0.25224300007129424
8,0.93235034,0.21596622100363227,0.91932887,0.24322984410518128
9,0.94389606,0.19877864597251485,0.9254017,0.2334234598523451
10,0.95241064,0.18420798007730413,0.9247468,0.23446098344488295
11,0.95864207,0.17217335245372112,0.9279771,0.23135053617375892
12,0.96266705,0.16426180188672496,0.935661,0.22133025352763464
13,0.9672502,0.15402092876962759,0.9353746,0.22428869524967399
14,0.9698434,0.1478211305528411,0.9385769,0.21754045935305416
15,0.97163343,0.1441492736339569,0.93910843,0.2169440775121486
16,0.9745003,0.13590416446146125,0.9371038,0.2237326678337227
17,0.9762707,0.13153173346690067,0.9373136,0.22454779534023678
