epoch,auc_1,loss,val_auc_1,val_loss
0,0,0,0,0
0,0.6524699,0.38679662086784733,0.7146322727203369,0.44053204511056604
1,0.7569584,0.2841136528351336,0.790786862373352,0.36849490198165336
2,0.8120702,0.24829395536664892,0.8300103545188904,0.333117118108543
3,0.84344745,0.22527946315926822,0.8547448515892029,0.30540219599455853
4,0.8641505,0.20520553419311216,0.8724622130393982,0.28841731503579837
5,0.879513,0.18834290407715043,0.8861583471298218,0.26173886802392066
6,0.89228207,0.1698858693736178,0.897674560546875,0.24288913802638729
7,0.9029436,0.14866274171370694,0.907841145992279,0.22376577605543752
8,0.91242737,0.1326812035282245,0.9166310429573059,0.2077374141045682
9,0.9207257,0.11548337714834363,0.9244898557662964,0.18921933914770422
10,0.9281213,0.10068029855714418,0.9313967227935791,0.18370019175099245
11,0.9345431,0.08762012107418053,0.9374724626541138,0.1704856591594989
12,0.94027805,0.07729934292469973,0.9428713917732239,0.15806106944774875
13,0.94533604,0.06824276178919209,0.9476211071014404,0.15311171608549554
14,0.94980896,0.060322980339562494,0.9517955780029297,0.15119784256446633
15,0.9537112,0.053487686437097934,0.9555060863494873,0.14147529472803363
16,0.9572375,0.04613599856018396,0.9588459730148315,0.13793895554844204
17,0.96038955,0.04040838393137301,0.9618257880210876,0.13410545162609527
18,0.96319157,0.03782544308789009,0.9644498825073242,0.1327630984897597
19,0.9656627,0.03319378353876385,0.9668136239051819,0.12866001652901501
